VoteKit RankProfile
Candidates
(D6:D6),(R3:R3),(R2:R2),(R1:R1),(D1:D1),(D3:D3),(D5:D5),(D7:D7),(D2:D2),(D4:D4)
Max Ranking Length
10
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,Ranking_4,Ranking_5,Ranking_6,Ranking_7,Ranking_8,Ranking_9,Ranking_10,&,Weight,&
{'D6'},{'D1'},{'D4'},{'D7'},{'D5'},{'D2'},{'D3'},{'R2'},{'R1'},{'R3'},&,1.0,&
{'D6'},{'D1'},{'D4'},{'D7'},{'D5'},{'D2'},{'D3'},{'R2'},{'R3'},{'R1'},&,1.0,&
{'D6'},{'D1'},{'D4'},{'D7'},{'D2'},{'D3'},{'D5'},{'R2'},{'R1'},{'R3'},&,1.0,&
{'D6'},{'D1'},{'D4'},{'D7'},{'D2'},{'D5'},{'D3'},{'R2'},{'R1'},{'R3'},&,1.0,&
{'D6'},{'D1'},{'D4'},{'D5'},{'D2'},{'D7'},{'D3'},{'R2'},{'R1'},{'R3'},&,1.0,&
{'D6'},{'D1'},{'D4'},{'D2'},{'D5'},{'D3'},{'D7'},{'R2'},{'R3'},{'R1'},&,1.0,&
{'D6'},{'D1'},{'D4'},{'D2'},{'D5'},{'D7'},{'D3'},{'R2'},{'R1'},{'R3'},&,1.0,&
{'D6'},{'D1'},{'D4'},{'D2'},{'D3'},{'D5'},{'R2'},{'D7'},{'R1'},{'R3'},&,1.0,&
{'D6'},{'D1'},{'D4'},{'D2'},{'D7'},{'D3'},{'R2'},{'D5'},{'R1'},{'R3'},&,1.0,&
{'D6'},{'D1'},{'D4'},{'D2'},{'D7'},{'D3'},{'D5'},{'R2'},{'R1'},{'R3'},&,1.0,&
{'D6'},{'D1'},{'D4'},{'D2'},{'D7'},{'D3'},{'D5'},{'R2'},{'R3'},{'R1'},&,2.0,&
{'D6'},{'D1'},{'D4'},{'D2'},{'D7'},{'D5'},{'R2'},{'D3'},{'R1'},{'R3'},&,1.0,&
{'D6'},{'D1'},{'D4'},{'D2'},{'D7'},{'D5'},{'D3'},{'R2'},{'R1'},{'R3'},&,3.0,&
{'D6'},{'D1'},{'D4'},{'D2'},{'D7'},{'R2'},{'D5'},{'D3'},{'R3'},{'R1'},&,1.0,&
{'D6'},{'D1'},{'D4'},{'D2'},{'R2'},{'D7'},{'D3'},{'D5'},{'R1'},{'R3'},&,1.0,&
{'D6'},{'D3'},{'D2'},{'D7'},{'D4'},{'D1'},{'D5'},{'R2'},{'R1'},{'R3'},&,1.0,&
{'D6'},{'D3'},{'D2'},{'D7'},{'D4'},{'D5'},{'R2'},{'D1'},{'R3'},{'R1'},&,1.0,&
{'D6'},{'D3'},{'D2'},{'D7'},{'D4'},{'D5'},{'D1'},{'R2'},{'R1'},{'R3'},&,1.0,&
{'D6'},{'D3'},{'D2'},{'D4'},{'D5'},{'D7'},{'R2'},{'D1'},{'R1'},{'R3'},&,1.0,&
{'D6'},{'D3'},{'D2'},{'D4'},{'D5'},{'D7'},{'R2'},{'D1'},{'R3'},{'R1'},&,1.0,&
{'D6'},{'D3'},{'D2'},{'D4'},{'D5'},{'D7'},{'D1'},{'R2'},{'R3'},{'R1'},&,1.0,&
{'D6'},{'D3'},{'D2'},{'D4'},{'D7'},{'D1'},{'R2'},{'D5'},{'R1'},{'R3'},&,1.0,&
{'D6'},{'D3'},{'D2'},{'D4'},{'D7'},{'D5'},{'R2'},{'D1'},{'R1'},{'R3'},&,1.0,&
{'D6'},{'D3'},{'D2'},{'D4'},{'D7'},{'D5'},{'D1'},{'R2'},{'R3'},{'R1'},&,1.0,&
{'D6'},{'D3'},{'D2'},{'D4'},{'D7'},{'R2'},{'R1'},{'D5'},{'D1'},{'R3'},&,1.0,&
{'D6'},{'D3'},{'D2'},{'D1'},{'D4'},{'D7'},{'D5'},{'R2'},{'R1'},{'R3'},&,1.0,&
{'D6'},{'D3'},{'D7'},{'D4'},{'D2'},{'D1'},{'D5'},{'R2'},{'R1'},{'R3'},&,1.0,&
{'D6'},{'D3'},{'D7'},{'D4'},{'D2'},{'D5'},{'D1'},{'R2'},{'R3'},{'R1'},&,1.0,&
{'D6'},{'D3'},{'D7'},{'D1'},{'D4'},{'D2'},{'D5'},{'R2'},{'R3'},{'R1'},&,1.0,&
{'D6'},{'D3'},{'D4'},{'D7'},{'D2'},{'D1'},{'R2'},{'D5'},{'R3'},{'R1'},&,1.0,&
{'D6'},{'D3'},{'D4'},{'D7'},{'D2'},{'D1'},{'D5'},{'R2'},{'R1'},{'R3'},&,2.0,&
{'D6'},{'D3'},{'D4'},{'D7'},{'D2'},{'D5'},{'D1'},{'R2'},{'R3'},{'R1'},&,1.0,&
{'D6'},{'D3'},{'D4'},{'D2'},{'D5'},{'D7'},{'D1'},{'R2'},{'R3'},{'R1'},&,1.0,&
{'D6'},{'D3'},{'D4'},{'D2'},{'D7'},{'D1'},{'D5'},{'R2'},{'R1'},{'R3'},&,1.0,&
{'D6'},{'D3'},{'D4'},{'D2'},{'D7'},{'D5'},{'D1'},{'R2'},{'R3'},{'R1'},&,3.0,&
{'D6'},{'R2'},{'D7'},{'R3'},{'R1'},{'D3'},{'D1'},{'D5'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R2'},{'D3'},{'R1'},{'R3'},{'D7'},{'D5'},{'D1'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R2'},{'D3'},{'R3'},{'D7'},{'R1'},{'D5'},{'D1'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R2'},{'D3'},{'R3'},{'R1'},{'D7'},{'D5'},{'D4'},{'D1'},{'D2'},&,1.0,&
{'D6'},{'R2'},{'R1'},{'D7'},{'R3'},{'D3'},{'D5'},{'D1'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R2'},{'R1'},{'D7'},{'R3'},{'D3'},{'D5'},{'D1'},{'D4'},{'D2'},&,1.0,&
{'D6'},{'R2'},{'R1'},{'D5'},{'D3'},{'R3'},{'D1'},{'D7'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R2'},{'R1'},{'D3'},{'R3'},{'D7'},{'D1'},{'D5'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R2'},{'R1'},{'D1'},{'R3'},{'D3'},{'D7'},{'D2'},{'D5'},{'D4'},&,1.0,&
{'D6'},{'R2'},{'R1'},{'R3'},{'D5'},{'D3'},{'D1'},{'D7'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R2'},{'R1'},{'R3'},{'D3'},{'D1'},{'D5'},{'D7'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R2'},{'R1'},{'R3'},{'D3'},{'D5'},{'D7'},{'D1'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R2'},{'R1'},{'R3'},{'D3'},{'D7'},{'D1'},{'D5'},{'D2'},{'D4'},&,2.0,&
{'D6'},{'R2'},{'R1'},{'R3'},{'D3'},{'D7'},{'D5'},{'D1'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R2'},{'R1'},{'R3'},{'D7'},{'D3'},{'D1'},{'D5'},{'D4'},{'D2'},&,1.0,&
{'D6'},{'R2'},{'R1'},{'R3'},{'D7'},{'D3'},{'D5'},{'D1'},{'D2'},{'D4'},&,2.0,&
{'D6'},{'R2'},{'R3'},{'D7'},{'R1'},{'D3'},{'D1'},{'D5'},{'D2'},{'D4'},&,3.0,&
{'D6'},{'R2'},{'R3'},{'D5'},{'R1'},{'D1'},{'D3'},{'D7'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R2'},{'R3'},{'D3'},{'R1'},{'D1'},{'D5'},{'D7'},{'D4'},{'D2'},&,1.0,&
{'D6'},{'R2'},{'R3'},{'D3'},{'R1'},{'D7'},{'D1'},{'D5'},{'D2'},{'D4'},&,2.0,&
{'D6'},{'R2'},{'R3'},{'D3'},{'R1'},{'D7'},{'D5'},{'D1'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R2'},{'R3'},{'D1'},{'R1'},{'D3'},{'D7'},{'D5'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R2'},{'R3'},{'D1'},{'R1'},{'D5'},{'D3'},{'D7'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R2'},{'R3'},{'R1'},{'D5'},{'D3'},{'D7'},{'D1'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R2'},{'R3'},{'R1'},{'D5'},{'D7'},{'D3'},{'D2'},{'D1'},{'D4'},&,1.0,&
{'D6'},{'R2'},{'R3'},{'R1'},{'D1'},{'D5'},{'D3'},{'D7'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R2'},{'R3'},{'R1'},{'D3'},{'D1'},{'D7'},{'D5'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R2'},{'R3'},{'R1'},{'D3'},{'D5'},{'D1'},{'D7'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R2'},{'R3'},{'R1'},{'D3'},{'D5'},{'D1'},{'D7'},{'D4'},{'D2'},&,1.0,&
{'D6'},{'R2'},{'R3'},{'R1'},{'D3'},{'D5'},{'D7'},{'D1'},{'D2'},{'D4'},&,2.0,&
{'D6'},{'R2'},{'R3'},{'R1'},{'D3'},{'D7'},{'D1'},{'D5'},{'D2'},{'D4'},&,2.0,&
{'D6'},{'R2'},{'R3'},{'R1'},{'D3'},{'D7'},{'D1'},{'D5'},{'D4'},{'D2'},&,1.0,&
{'D6'},{'R2'},{'R3'},{'R1'},{'D3'},{'D7'},{'D5'},{'D1'},{'D2'},{'D4'},&,2.0,&
{'D6'},{'R2'},{'R3'},{'R1'},{'D3'},{'D7'},{'D5'},{'D1'},{'D4'},{'D2'},&,1.0,&
{'D6'},{'R2'},{'R3'},{'R1'},{'D7'},{'D3'},{'D1'},{'D5'},{'D4'},{'D2'},&,1.0,&
{'D6'},{'R3'},{'D7'},{'R2'},{'R1'},{'D3'},{'D5'},{'D1'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R3'},{'D3'},{'R2'},{'R1'},{'D1'},{'D7'},{'D5'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R3'},{'R2'},{'D7'},{'D3'},{'D1'},{'R1'},{'D5'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R3'},{'R2'},{'D3'},{'R1'},{'D7'},{'D1'},{'D5'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R3'},{'R2'},{'D3'},{'R1'},{'D7'},{'D5'},{'D2'},{'D1'},{'D4'},&,1.0,&
{'D6'},{'R3'},{'R2'},{'D1'},{'R1'},{'D3'},{'D7'},{'D5'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R3'},{'R2'},{'D1'},{'R1'},{'D7'},{'D3'},{'D5'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R3'},{'R2'},{'R1'},{'D5'},{'D7'},{'D3'},{'D1'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R3'},{'R2'},{'R1'},{'D1'},{'D5'},{'D3'},{'D7'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R3'},{'R2'},{'R1'},{'D1'},{'D7'},{'D3'},{'D5'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R3'},{'R2'},{'R1'},{'D1'},{'D7'},{'D3'},{'D5'},{'D4'},{'D2'},&,1.0,&
{'D6'},{'R3'},{'R2'},{'R1'},{'D3'},{'D5'},{'D1'},{'D7'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R3'},{'R2'},{'R1'},{'D3'},{'D5'},{'D7'},{'D1'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R3'},{'R2'},{'R1'},{'D3'},{'D7'},{'D1'},{'D5'},{'D2'},{'D4'},&,3.0,&
{'D6'},{'R3'},{'R2'},{'R1'},{'D3'},{'D7'},{'D5'},{'D1'},{'D2'},{'D4'},&,2.0,&
{'D6'},{'R3'},{'R2'},{'R1'},{'D7'},{'D1'},{'D3'},{'D5'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R3'},{'R2'},{'R1'},{'D7'},{'D3'},{'D5'},{'D1'},{'D2'},{'D4'},&,2.0,&
{'D6'},{'R3'},{'R2'},{'R1'},{'D7'},{'D5'},{'D3'},{'D1'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R3'},{'R2'},{'R1'},{'D7'},{'D2'},{'D3'},{'D5'},{'D1'},{'D4'},&,1.0,&
{'D6'},{'R3'},{'R1'},{'D7'},{'R2'},{'D3'},{'D1'},{'D5'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R3'},{'R1'},{'D7'},{'R2'},{'D3'},{'D5'},{'D1'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R3'},{'R1'},{'R2'},{'D1'},{'D3'},{'D7'},{'D5'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R3'},{'R1'},{'R2'},{'D3'},{'D7'},{'D5'},{'D1'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R1'},{'D3'},{'R3'},{'D7'},{'D5'},{'D1'},{'R2'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R1'},{'R2'},{'D7'},{'D3'},{'D5'},{'R3'},{'D1'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R1'},{'R2'},{'D7'},{'D3'},{'R3'},{'D5'},{'D1'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R1'},{'R2'},{'D3'},{'R3'},{'D5'},{'D1'},{'D7'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R1'},{'R2'},{'D3'},{'R3'},{'D7'},{'D1'},{'D5'},{'D4'},{'D2'},&,1.0,&
{'D6'},{'R1'},{'R2'},{'D3'},{'R3'},{'D7'},{'D5'},{'D1'},{'D4'},{'D2'},&,1.0,&
{'D6'},{'R1'},{'R2'},{'D1'},{'D3'},{'D7'},{'R3'},{'D5'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R1'},{'R2'},{'R3'},{'D5'},{'D1'},{'D3'},{'D7'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R1'},{'R2'},{'R3'},{'D3'},{'D7'},{'D1'},{'D5'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R1'},{'R2'},{'R3'},{'D3'},{'D7'},{'D5'},{'D1'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R1'},{'R3'},{'D3'},{'D7'},{'R2'},{'D5'},{'D1'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R1'},{'R3'},{'D3'},{'R2'},{'D7'},{'D5'},{'D1'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R1'},{'R3'},{'R2'},{'D1'},{'D7'},{'D3'},{'D5'},{'D2'},{'D4'},&,1.0,&
{'D6'},{'R1'},{'R3'},{'R2'},{'D3'},{'D7'},{'D5'},{'D1'},{'D2'},{'D4'},&,2.0,&
{'D6'},{'R1'},{'R3'},{'R2'},{'D7'},{'D3'},{'D5'},{'D1'},{'D2'},{'D4'},&,2.0,&
{'D5'},{'D2'},{'D7'},{'D6'},{'D4'},{'D1'},{'R2'},{'D3'},{'R1'},{'R3'},&,1.0,&
{'D5'},{'D2'},{'D7'},{'D6'},{'D4'},{'D1'},{'R2'},{'D3'},{'R3'},{'R1'},&,1.0,&
{'D5'},{'D2'},{'D7'},{'D6'},{'D4'},{'D1'},{'D3'},{'R2'},{'R1'},{'R3'},&,2.0,&
{'D5'},{'D2'},{'D7'},{'D6'},{'D4'},{'D1'},{'D3'},{'R2'},{'R3'},{'R1'},&,1.0,&
{'D5'},{'D2'},{'D7'},{'D6'},{'D4'},{'D3'},{'D1'},{'R2'},{'R1'},{'R3'},&,1.0,&
{'D5'},{'D2'},{'D7'},{'D6'},{'D4'},{'D3'},{'D1'},{'R2'},{'R3'},{'R1'},&,2.0,&
{'D5'},{'D2'},{'D7'},{'D6'},{'D4'},{'R2'},{'D1'},{'D3'},{'R1'},{'R3'},&,1.0,&
{'D5'},{'D2'},{'D7'},{'D6'},{'D4'},{'R2'},{'D1'},{'R3'},{'D3'},{'R1'},&,1.0,&
{'D5'},{'D2'},{'D7'},{'D6'},{'D4'},{'R2'},{'R3'},{'D3'},{'R1'},{'D1'},&,1.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D6'},{'D1'},{'R2'},{'D3'},{'R1'},{'R3'},&,4.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D6'},{'D1'},{'R2'},{'D3'},{'R3'},{'R1'},&,2.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D6'},{'D1'},{'R2'},{'R3'},{'R1'},{'D3'},&,1.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D6'},{'D1'},{'R2'},{'R1'},{'R3'},{'D3'},&,1.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D6'},{'D1'},{'D3'},{'R2'},{'R1'},{'R3'},&,23.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D6'},{'D1'},{'D3'},{'R2'},{'R3'},{'R1'},&,13.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D6'},{'D1'},{'D3'},{'R3'},{'R2'},{'R1'},&,1.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D6'},{'D1'},{'D3'},{'R1'},{'R2'},{'R3'},&,1.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D6'},{'D3'},{'R2'},{'D1'},{'R1'},{'R3'},&,6.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D6'},{'D3'},{'R2'},{'R3'},{'D1'},{'R1'},&,1.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D6'},{'D3'},{'R2'},{'R1'},{'D1'},{'R3'},&,1.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D6'},{'D3'},{'D1'},{'R2'},{'R1'},{'R3'},&,17.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D6'},{'D3'},{'D1'},{'R2'},{'R3'},{'R1'},&,14.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D6'},{'R2'},{'D1'},{'D3'},{'R3'},{'R1'},&,1.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D6'},{'R2'},{'D3'},{'D1'},{'R1'},{'R3'},&,2.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D6'},{'R2'},{'D3'},{'D1'},{'R3'},{'R1'},&,1.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D1'},{'D3'},{'D6'},{'R2'},{'R1'},{'R3'},&,1.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D1'},{'D3'},{'D6'},{'R3'},{'R2'},{'R1'},&,1.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D1'},{'R2'},{'D6'},{'D3'},{'R3'},{'R1'},&,1.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D1'},{'D6'},{'R2'},{'D3'},{'R1'},{'R3'},&,2.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D1'},{'D6'},{'R2'},{'R1'},{'D3'},{'R3'},&,1.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D1'},{'D6'},{'D3'},{'R2'},{'R1'},{'R3'},&,10.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D1'},{'D6'},{'D3'},{'R2'},{'R3'},{'R1'},&,5.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D1'},{'D6'},{'D3'},{'R1'},{'R2'},{'R3'},&,1.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D3'},{'D1'},{'R2'},{'D6'},{'R1'},{'R3'},&,2.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D3'},{'D1'},{'D6'},{'R2'},{'R3'},{'R1'},&,2.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D3'},{'D6'},{'R2'},{'D1'},{'R1'},{'R3'},&,1.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D3'},{'D6'},{'R2'},{'D1'},{'R3'},{'R1'},&,1.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D3'},{'D6'},{'R2'},{'R3'},{'D1'},{'R1'},&,1.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D3'},{'D6'},{'D1'},{'R2'},{'R1'},{'R3'},&,5.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'D3'},{'D6'},{'D1'},{'R2'},{'R3'},{'R1'},&,2.0,&
{'D5'},{'D2'},{'D7'},{'D4'},{'R2'},{'D3'},{'R1'},{'D6'},{'D1'},{'R3'},&,1.0,&
{'D5'},{'D2'},{'D7'},{'D3'},{'D4'},{'D6'},{'D1'},{'R2'},{'R3'},{'R1'},&,1.0,&
{'D5'},{'D2'},{'D7'},{'D1'},{'D4'},{'D6'},{'D3'},{'R2'},{'R3'},{'R1'},&,1.0,&
{'D5'},{'D2'},{'D6'},{'D7'},{'D4'},{'D1'},{'R2'},{'D3'},{'R3'},{'R1'},&,1.0,&
{'D5'},{'D2'},{'D6'},{'D7'},{'D4'},{'D1'},{'R2'},{'R3'},{'D3'},{'R1'},&,1.0,&
{'D5'},{'D2'},{'D6'},{'D7'},{'D4'},{'D1'},{'D3'},{'R2'},{'R1'},{'R3'},&,2.0,&
{'D5'},{'D2'},{'D6'},{'D7'},{'D4'},{'D1'},{'D3'},{'R2'},{'R3'},{'R1'},&,1.0,&
{'D5'},{'D2'},{'D6'},{'D7'},{'D4'},{'D1'},{'D3'},{'R1'},{'R2'},{'R3'},&,1.0,&
{'D5'},{'D2'},{'D6'},{'D7'},{'D4'},{'D3'},{'D1'},{'R2'},{'R1'},{'R3'},&,1.0,&
{'D5'},{'D2'},{'D6'},{'D7'},{'D4'},{'R2'},{'D3'},{'D1'},{'R1'},{'R3'},&,1.0,&
{'D5'},{'D2'},{'D6'},{'D4'},{'D3'},{'D7'},{'D1'},{'R2'},{'R1'},{'R3'},&,1.0,&
{'D5'},{'D2'},{'D6'},{'D4'},{'D7'},{'D1'},{'R2'},{'D3'},{'R3'},{'R1'},&,1.0,&
{'D5'},{'D2'},{'D6'},{'D4'},{'D7'},{'D1'},{'R2'},{'R1'},{'R3'},{'D3'},&,1.0,&
{'D5'},{'D2'},{'D6'},{'D4'},{'D7'},{'D1'},{'D3'},{'R2'},{'R1'},{'R3'},&,4.0,&
{'D5'},{'D2'},{'D6'},{'D4'},{'D7'},{'D1'},{'D3'},{'R2'},{'R3'},{'R1'},&,4.0,&
{'D5'},{'D2'},{'D6'},{'D4'},{'D7'},{'D1'},{'D3'},{'R3'},{'R2'},{'R1'},&,1.0,&
{'D5'},{'D2'},{'D6'},{'D4'},{'D7'},{'D1'},{'R3'},{'D3'},{'R2'},{'R1'},&,1.0,&
{'D5'},{'D2'},{'D6'},{'D4'},{'D7'},{'D3'},{'D1'},{'R2'},{'R1'},{'R3'},&,1.0,&
{'D5'},{'D2'},{'D6'},{'D4'},{'D7'},{'D3'},{'D1'},{'R2'},{'R3'},{'R1'},&,1.0,&
{'D5'},{'D2'},{'D6'},{'D4'},{'D7'},{'R2'},{'D1'},{'R3'},{'D3'},{'R1'},&,1.0,&
{'D5'},{'D2'},{'D6'},{'D4'},{'D7'},{'R2'},{'D1'},{'R1'},{'D3'},{'R3'},&,1.0,&
{'D5'},{'D2'},{'D6'},{'D3'},{'D7'},{'R2'},{'D4'},{'D1'},{'R1'},{'R3'},&,1.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D6'},{'D1'},{'R2'},{'D3'},{'R1'},{'R3'},&,8.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D6'},{'D1'},{'R2'},{'D3'},{'R3'},{'R1'},&,7.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D6'},{'D1'},{'R2'},{'R3'},{'R1'},{'D3'},&,1.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D6'},{'D1'},{'R2'},{'R3'},{'D3'},{'R1'},&,4.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D6'},{'D1'},{'R2'},{'R1'},{'R3'},{'D3'},&,1.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D6'},{'D1'},{'R2'},{'R1'},{'D3'},{'R3'},&,2.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D6'},{'D1'},{'D3'},{'R2'},{'R1'},{'R3'},&,58.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D6'},{'D1'},{'D3'},{'R2'},{'R3'},{'R1'},&,27.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D6'},{'D1'},{'D3'},{'R3'},{'R2'},{'R1'},&,4.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D6'},{'D1'},{'D3'},{'R1'},{'R2'},{'R3'},&,3.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D6'},{'D1'},{'R3'},{'R2'},{'D3'},{'R1'},&,2.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D6'},{'D3'},{'R2'},{'D1'},{'R1'},{'R3'},&,13.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D6'},{'D3'},{'R2'},{'D1'},{'R3'},{'R1'},&,10.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D6'},{'D3'},{'R2'},{'R3'},{'R1'},{'D1'},&,1.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D6'},{'D3'},{'R2'},{'R3'},{'D1'},{'R1'},&,1.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D6'},{'D3'},{'R2'},{'R1'},{'R3'},{'D1'},&,1.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D6'},{'D3'},{'R2'},{'R1'},{'D1'},{'R3'},&,3.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D6'},{'D3'},{'D1'},{'R2'},{'R1'},{'R3'},&,33.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D6'},{'D3'},{'D1'},{'R2'},{'R3'},{'R1'},&,18.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D6'},{'D3'},{'D1'},{'R3'},{'R2'},{'R1'},&,2.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D6'},{'D3'},{'D1'},{'R1'},{'R2'},{'R3'},&,1.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D6'},{'R2'},{'D1'},{'D3'},{'R1'},{'R3'},&,2.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D6'},{'R2'},{'D1'},{'D3'},{'R3'},{'R1'},&,1.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D6'},{'R2'},{'D1'},{'R3'},{'D3'},{'R1'},&,1.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D6'},{'R2'},{'D1'},{'R1'},{'D3'},{'R3'},&,1.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D6'},{'R2'},{'D3'},{'D1'},{'R1'},{'R3'},&,1.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D6'},{'R2'},{'D3'},{'D1'},{'R3'},{'R1'},&,1.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D6'},{'R2'},{'D3'},{'R1'},{'R3'},{'D1'},&,1.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D6'},{'R2'},{'R1'},{'D3'},{'R3'},{'D1'},&,1.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D1'},{'D3'},{'D6'},{'R2'},{'R1'},{'R3'},&,2.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D1'},{'D3'},{'D6'},{'R2'},{'R3'},{'R1'},&,3.0,&
{'D5'},{'D2'},{'D4'},{'D7'},{'D1'},{'D3'},{'D6'},{'R1'},{'R2'},{'R3'},&,1.0,&
